ref_date,cma,dguid,permit_value_t,source_status,overnight_rate,ontario_unemployment_rate,overnight_rate_lag_1,unemployment_lag_1,target_date,permit_value_t_plus_1,log_target,lag_1,lag_3,lag_6,lag_12,rolling_mean_3,rolling_sd_3,seasonal_naive_pred,month_sin,month_cos,time_index,pandemic_indicator
2019-01-01,Hamilton,DEMO-1,170612.19035798626,DEMO,2.0738848727196184,6.197515522808293,2.035479872200373,6.914530617107758,2019-02-01,150655.08733609397,11.922754950885107,154955.26990193184,129529.11234967315,151784.19730676414,166644.50218264782,155013.07179431268,15570.298084810534,160997.76350115624,0.8660254037844386,0.5000000000000001,12,0
2019-01-01,Kitchener-Cambridge-Waterloo,DEMO-2,197754.75275671986,DEMO,2.0738848727196184,6.197515522808293,2.035479872200373,6.914530617107758,2019-02-01,217358.69605099,12.28930884573244,143733.0625581715,151086.71775920392,144768.4152745588,191724.10604790217,166336.66420819695,28068.792945900263,188629.6354441156,0.8660254037844386,0.5000000000000001,12,0
2019-01-01,London,DEMO-3,220020.98228036184,DEMO,2.0738848727196184,6.197515522808293,2.035479872200373,6.914530617107758,2019-02-01,249514.4428750358,12.427276087549,185393.79942038353,184466.89155575092,159791.9072655155,206016.38031058808,206085.1765707753,18275.359293963716,210861.59491676267,0.8660254037844386,0.5000000000000001,12,0
2019-01-01,Toronto,DEMO-0,168823.11461402275,DEMO,2.0738848727196184,6.197515522808293,2.035479872200373,6.914530617107758,2019-02-01,142904.88313036656,11.869941532632213,148205.90438098615,118945.3569090207,91121.63962095449,138842.50581869378,147372.05455666198,21879.905067765245,129883.97656299794,0.8660254037844386,0.5000000000000001,12,0
2019-01-01,Windsor,DEMO-4,229423.39897948568,DEMO,2.0738848727196184,6.197515522808293,2.035479872200373,6.914530617107758,2019-02-01,231449.19609790636,12.35211999371724,230710.3315946364,202696.61345395815,223922.19894852367,230246.40303035133,215270.20874998494,25636.637511919933,231383.1668222203,0.8660254037844386,0.5000000000000001,12,0
2019-02-01,Hamilton,DEMO-1,150655.08733609397,DEMO,2.109740218331072,6.172347665635154,2.0738848727196184,6.197515522808293,2019-03-01,179101.86054103173,12.095715559674643,170612.19035798626,139471.75512301992,133278.50012827708,160997.76350115624,158740.8491986707,10503.30653725427,146358.93144463006,1.0,6.123233995736766e-17,13,0
2019-02-01,Kitchener-Cambridge-Waterloo,DEMO-2,217358.69605099,DEMO,2.109740218331072,6.172347665635154,2.0738848727196184,6.197515522808293,2019-03-01,211481.7490677144,12.261898709450232,197754.75275671986,157522.17730969953,159683.60792017603,188629.6354441156,186282.17045529382,38130.02209941606,189512.0582270952,1.0,6.123233995736766e-17,13,0
2019-02-01,London,DEMO-3,249514.4428750358,DEMO,2.109740218331072,6.172347665635154,2.0738848727196184,6.197515522808293,2019-03-01,213395.98798933727,12.270909503360945,220020.98228036184,212840.7480115805,188916.42799360753,210861.59491676267,218309.7415252604,32094.55542535378,219899.29179405412,1.0,6.123233995736766e-17,13,0
2019-02-01,Toronto,DEMO-0,142904.88313036656,DEMO,2.109740218331072,6.172347665635154,2.0738848727196184,6.197515522808293,2019-03-01,179570.30763826016,12.098327665062445,168823.11461402275,125087.14467497708,79017.85024786371,129883.97656299794,153311.3007084585,13692.606930585605,135477.12437586757,1.0,6.123233995736766e-17,13,0
2019-02-01,Windsor,DEMO-4,231449.19609790636,DEMO,2.109740218331072,6.172347665635154,2.0738848727196184,6.197515522808293,2019-03-01,245919.9871671819,12.412765572944513,229423.39897948568,185676.8956758326,217609.61929211247,231383.1668222203,230527.6422240095,1025.1804942815713,241010.37422775629,1.0,6.123233995736766e-17,13,0
2019-03-01,Hamilton,DEMO-1,179101.86054103173,DEMO,2.142886610955529,6.465467910174199,2.109740218331072,6.172347665635154,2019-04-01,157234.53988724458,11.965500214132513,150655.08733609397,154955.26990193184,120502.06890111155,146358.93144463006,166789.7127450373,14603.534769685495,170329.0307515207,0.8660254037844387,-0.4999999999999998,14,0
2019-03-01,Kitchener-Cambridge-Waterloo,DEMO-2,211481.7490677144,DEMO,2.142886610955529,6.465467910174199,2.109740218331072,6.172347665635154,2019-04-01,212937.5602415574,12.26875895351183,217358.69605099,143733.0625581715,172784.14981533424,189512.0582270952,208865.06595847476,10060.512961170585,198536.88832327165,0.8660254037844387,-0.4999999999999998,14,0
2019-03-01,London,DEMO-3,213395.98798933727,DEMO,2.142886610955529,6.465467910174199,2.109740218331072,6.172347665635154,2019-04-01,242728.22580872066,12.399701803948659,249514.4428750358,185393.79942038353,204503.53966368444,219899.29179405412,227643.80438157832,19228.007136015443,264749.01333964994,0.8660254037844387,-0.4999999999999998,14,0
