target_date,cma,actual,selected_model,prediction,lower_90,upper_90,covered
2025-06-01,Hamilton,239594.63135148768,xgboost,216286.08,185490.8,247081.36,True
2025-06-01,Kitchener-Cambridge-Waterloo,260331.59428297207,xgboost,246568.6,215773.31,277363.88,True
2025-06-01,London,295709.8818955285,xgboost,255199.86,224404.58,285995.12,False
2025-06-01,Toronto,212800.83627275185,xgboost,208025.83,177230.55,238821.11,True
2025-06-01,Windsor,286336.2320331684,xgboost,267643.7,236848.4,298438.97,True
2025-07-01,Hamilton,216352.35281810205,xgboost,225829.16,195033.88,256624.44,True
2025-07-01,Kitchener-Cambridge-Waterloo,247244.5310470839,xgboost,247396.75,216601.47,278192.03,True
2025-07-01,London,244349.2584416801,xgboost,258300.2,227504.92,289095.5,True
2025-07-01,Toronto,181950.53018697136,xgboost,204355.27,173559.98,235150.55,True
2025-07-01,Windsor,297037.8672728824,xgboost,272494.66,241699.38,303289.94,True
2025-08-01,Hamilton,221570.80088686716,xgboost,226806.03,196010.75,257601.31,True
2025-08-01,Kitchener-Cambridge-Waterloo,234852.0190275344,xgboost,230094.03,199298.75,260889.31,True
2025-08-01,London,287125.1512650458,xgboost,244160.06,213364.78,274955.34,False
2025-08-01,Toronto,179374.33136061495,xgboost,192861.55,162066.27,223656.83,True
2025-08-01,Windsor,276978.8786751349,xgboost,269134.88,238339.6,299930.16,True
2025-09-01,Hamilton,189080.42721206587,xgboost,220217.14,189421.86,251012.42,False
2025-09-01,Kitchener-Cambridge-Waterloo,236255.40951378635,xgboost,236885.78,206090.5,267681.06,True
2025-09-01,London,235382.55772137255,xgboost,257138.89,226343.61,287934.2,True
2025-09-01,Toronto,182402.95515291835,xgboost,191125.4,160330.12,221920.69,True
2025-09-01,Windsor,318894.84513896523,xgboost,266782.6,235987.31,297577.88,False
2025-10-01,Hamilton,233194.85455073992,xgboost,220216.52,189421.23,251011.8,True
2025-10-01,Kitchener-Cambridge-Waterloo,266807.0852876292,xgboost,227712.19,196916.9,258507.47,False
2025-10-01,London,246503.21103126951,xgboost,245560.94,214765.66,276356.22,True
2025-10-01,Toronto,183721.6512843933,xgboost,187206.81,156411.53,218002.1,True
2025-10-01,Windsor,278423.496815182,xgboost,281049.72,250254.44,311845.0,True
2025-11-01,Hamilton,232641.088060567,xgboost,222696.16,191900.88,253491.44,True
2025-11-01,Kitchener-Cambridge-Waterloo,221796.8746455991,xgboost,253061.3,222266.02,283856.56,False
2025-11-01,London,268852.1612475483,xgboost,241996.28,211201.0,272791.56,True
2025-11-01,Toronto,193211.6122891267,xgboost,192861.92,162066.64,223657.2,True
2025-11-01,Windsor,306896.44915429264,xgboost,267949.12,237153.84,298744.4,False
2025-12-01,Hamilton,239594.30868526764,xgboost,235513.28,204718.0,266308.56,True
2025-12-01,Kitchener-Cambridge-Waterloo,258653.69767703503,xgboost,250783.48,219988.2,281578.75,True
2025-12-01,London,276188.19135044335,xgboost,272893.6,242098.31,303688.88,True
2025-12-01,Toronto,198068.83149696368,xgboost,215868.78,185073.5,246664.06,True
2025-12-01,Windsor,321438.375041974,xgboost,291749.53,260954.25,322544.8,True
2026-01-01,Hamilton,240377.32259279996,xgboost,243295.39,212500.11,274090.7,True
2026-01-01,Kitchener-Cambridge-Waterloo,266511.10329210333,xgboost,260859.4,230064.12,291654.7,True
2026-01-01,London,272585.994629578,xgboost,276809.1,246013.81,307604.38,True
2026-01-01,Toronto,233106.90391932425,xgboost,216815.17,186019.89,247610.45,True
2026-01-01,Windsor,309554.4565500551,xgboost,298998.5,268203.22,329793.78,True
2026-02-01,Hamilton,238313.6436844964,xgboost,250023.36,219228.08,280818.62,True
2026-02-01,Kitchener-Cambridge-Waterloo,289403.7046430497,xgboost,275021.62,244226.34,305816.9,True
2026-02-01,London,301566.2629321342,xgboost,290019.06,259223.78,320814.34,True
2026-02-01,Toronto,222212.15710130348,xgboost,231288.44,200493.16,262083.72,True
2026-02-01,Windsor,323197.11913674057,xgboost,302755.66,271960.38,333550.94,True
2026-03-01,Hamilton,269973.9899220553,xgboost,249595.48,218800.2,280390.75,True
2026-03-01,Kitchener-Cambridge-Waterloo,269248.9660863885,xgboost,276541.78,245746.5,307337.06,True
2026-03-01,London,296108.12026974984,xgboost,286110.4,255315.12,316905.7,True
2026-03-01,Toronto,243597.6763411473,xgboost,228938.97,198143.69,259734.25,True
2026-03-01,Windsor,308035.19163644844,xgboost,293373.38,262578.1,324168.66,True
2026-04-01,Hamilton,273729.45807644405,xgboost,267276.88,236481.6,298072.16,True
2026-04-01,Kitchener-Cambridge-Waterloo,278676.4292664473,xgboost,287845.28,257050.0,318640.56,True
2026-04-01,London,280875.35420198133,xgboost,297714.97,266919.7,328510.25,True
2026-04-01,Toronto,229138.81180593505,xgboost,232420.1,201624.81,263215.38,True
2026-04-01,Windsor,364694.9673090269,xgboost,302198.9,271403.62,332994.2,False
2026-05-01,Hamilton,256815.63975155688,xgboost,267957.3,237162.03,298752.6,True
2026-05-01,Kitchener-Cambridge-Waterloo,259600.70858229228,xgboost,267079.9,236284.62,297875.2,True
2026-05-01,London,296084.3087848364,xgboost,273600.3,242805.03,304395.6,True
2026-05-01,Toronto,200022.2683707244,xgboost,218812.02,188016.73,249607.3,True
2026-05-01,Windsor,301383.2693446457,xgboost,294100.88,263305.6,324896.16,True
